file,field_path,non_null_count,record_count,presence_fraction
MimicMedicationAdministration.ndjson.gz,subject.reference,36131,36131,1.0
MimicMedicationAdministration.ndjson.gz,resourceType,36131,36131,1.0
MimicMedicationAdministration.ndjson.gz,effectiveDateTime,36131,36131,1.0
MimicMedicationAdministration.ndjson.gz,medicationCodeableConcept.coding[0].code,36131,36131,1.0
MimicMedicationAdministration.ndjson.gz,medicationCodeableConcept.coding[0].system,36131,36131,1.0
MimicMedicationDispense.ndjson.gz,id,14293,14293,1.0
MimicMedicationDispense.ndjson.gz,meta.profile[0],14293,14293,1.0
MimicMedicationDispense.ndjson.gz,status,14293,14293,1.0
MimicMedicationDispense.ndjson.gz,context.reference,14293,14293,1.0
MimicMedicationDispense.ndjson.gz,subject.reference,14293,14293,1.0
MimicMedicationDispense.ndjson.gz,identifier[0].value,14293,14293,1.0
MimicMedicationDispense.ndjson.gz,identifier[0].system,14293,14293,1.0
MimicMedicationDispense.ndjson.gz,resourceType,14293,14293,1.0
MimicMedicationDispense.ndjson.gz,dosageInstruction[0].route.coding[0].code,14287,14293,0.9995802140908137
MimicMedicationDispense.ndjson.gz,dosageInstruction[0].route.coding[0].system,14287,14293,0.9995802140908137
MimicMedicationDispense.ndjson.gz,dosageInstruction[0].timing.code.coding[0].code,14287,14293,0.9995802140908137
MimicMedicationDispense.ndjson.gz,dosageInstruction[0].timing.code.coding[0].system,14287,14293,0.9995802140908137
MimicMedicationDispense.ndjson.gz,authorizingPrescription[0].reference,14293,14293,1.0
MimicMedicationDispense.ndjson.gz,medicationCodeableConcept.coding[0].code,14293,14293,1.0
MimicMedicationDispense.ndjson.gz,medicationCodeableConcept.coding[0].system,14293,14293,1.0
MimicMedicationDispense.ndjson.gz,dosageInstruction[0].timing.repeat.duration,470,14293,0.03288322955292801
MimicMedicationDispense.ndjson.gz,dosageInstruction[0].timing.repeat.durationUnit,470,14293,0.03288322955292801
MimicMedicationDispense.ndjson.gz,dosageInstruction[0].maxDosePerPeriod.numerator.value,60,14293,0.00419785909186315
MimicMedicationDispense.ndjson.gz,dosageInstruction[0].maxDosePerPeriod.denominator.unit,60,14293,0.00419785909186315
MimicMedicationDispense.ndjson.gz,dosageInstruction[0].maxDosePerPeriod.denominator.value,60,14293,0.00419785909186315
MimicMedicationDispense.ndjson.gz,dosageInstruction[0].maxDosePerPeriod.denominator.system,60,14293,0.00419785909186315
MimicMedicationRequest.ndjson.gz,id,17552,17552,1.0
MimicMedicationRequest.ndjson.gz,meta.profile[0],17552,17552,1.0
MimicMedicationRequest.ndjson.gz,intent,17552,17552,1.0
MimicMedicationRequest.ndjson.gz,status,17552,17552,1.0
MimicMedicationRequest.ndjson.gz,subject.reference,17552,17552,1.0
MimicMedicationRequest.ndjson.gz,encounter.reference,17552,17552,1.0
MimicMedicationRequest.ndjson.gz,authoredOn,17552,17552,1.0
MimicMedicationRequest.ndjson.gz,identifier[0].value,17552,17552,1.0
MimicMedicationRequest.ndjson.gz,identifier[0].system,17552,17552,1.0
MimicMedicationRequest.ndjson.gz,resourceType,17552,17552,1.0
MimicMedicationRequest.ndjson.gz,dispenseRequest.validityPeriod.end,14574,17552,0.8303327256153145
MimicMedicationRequest.ndjson.gz,dispenseRequest.validityPeriod.start,14574,17552,0.8303327256153145
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].text,15216,17552,0.8669097538742023
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].route.coding[0].code,15219,17552,0.8670806745670009
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].route.coding[0].system,15219,17552,0.8670806745670009
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].timing.code.coding[0].code,4009,17552,0.2284070191431176
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].timing.code.coding[0].system,4009,17552,0.2284070191431176
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].doseAndRate[0].doseQuantity.code,14333,17552,0.816602096627165
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].doseAndRate[0].doseQuantity.unit,14333,17552,0.816602096627165
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].doseAndRate[0].doseQuantity.value,14333,17552,0.816602096627165
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].doseAndRate[0].doseQuantity.system,14333,17552,0.816602096627165
MimicMedicationRequest.ndjson.gz,medicationReference.reference,15225,17552,0.867422515952598
MimicMedicationRequest.ndjson.gz,medicationCodeableConcept.coding[0].code,2327,17552,0.132577484047402
MimicMedicationRequest.ndjson.gz,medicationCodeableConcept.coding[0].system,2327,17552,0.132577484047402
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].timing.repeat.duration,734,17552,0.04181859617137648
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].timing.repeat.durationUnit,734,17552,0.04181859617137648
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].maxDosePerPeriod.numerator.value,60,17552,0.0034184138559708297
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].maxDosePerPeriod.denominator.unit,60,17552,0.0034184138559708297
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].maxDosePerPeriod.denominator.value,60,17552,0.0034184138559708297
MimicMedicationRequest.ndjson.gz,dosageInstruction[0].maxDosePerPeriod.denominator.system,60,17552,0.0034184138559708297
MimicObservationChartevents.ndjson.gz,id,668862,668862,1.0
MimicObservationChartevents.ndjson.gz,code.coding[0].code,668862,668862,1.0
MimicObservationChartevents.ndjson.gz,code.coding[0].system,668862,668862,1.0
MimicObservationChartevents.ndjson.gz,code.coding[0].display,668862,668862,1.0
MimicObservationChartevents.ndjson.gz,meta.profile[0],668862,668862,1.0
MimicObservationChartevents.ndjson.gz,issued,667703,668862,0.9982672060903445
MimicObservationChartevents.ndjson.gz,status,668862,668862,1.0
MimicObservationChartevents.ndjson.gz,subject.reference,668862,668862,1.0
MimicObservationChartevents.ndjson.gz,category[0].coding[0].code,668862,668862,1.0
MimicObservationChartevents.ndjson.gz,category[0].coding[0].system,668862,668862,1.0
MimicObservationChartevents.ndjson.gz,encounter.reference,668862,668862,1.0
MimicObservationChartevents.ndjson.gz,resourceType,668862,668862,1.0
MimicObservationChartevents.ndjson.gz,valueQuantity.code,162571,668862,0.2430561162093227
MimicObservationChartevents.ndjson.gz,valueQuantity.unit,162571,668862,0.2430561162093227
MimicObservationChartevents.ndjson.gz,valueQuantity.value,257474,668862,0.3849433814449019
MimicObservationChartevents.ndjson.gz,valueQuantity.system,257474,668862,0.3849433814449019
MimicObservationChartevents.ndjson.gz,effectiveDateTime,668862,668862,1.0
MimicObservationChartevents.ndjson.gz,valueString,411388,668862,0.6150566185550981
MimicObservationChartevents.ndjson.gz,referenceRange[0].low.code,14995,668862,0.022418675302229758
MimicObservationChartevents.ndjson.gz,referenceRange[0].low.unit,14995,668862,0.022418675302229758
MimicObservationChartevents.ndjson.gz,referenceRange[0].low.value,14995,668862,0.022418675302229758
MimicObservationChartevents.ndjson.gz,referenceRange[0].low.system,14995,668862,0.022418675302229758
MimicObservationChartevents.ndjson.gz,referenceRange[0].high.code,18460,668862,0.027599116110647637
MimicObservationChartevents.ndjson.gz,referenceRange[0].high.unit,18460,668862,0.027599116110647637
MimicObservationChartevents.ndjson.gz,referenceRange[0].high.value,18460,668862,0.027599116110647637
MimicObservationChartevents.ndjson.gz,referenceRange[0].high.system,18460,668862,0.027599116110647637
MimicObservationED.ndjson.gz,id,2742,2742,1.0
MimicObservationED.ndjson.gz,code.coding[0].code,2742,2742,1.0
MimicObservationED.ndjson.gz,code.coding[0].system,2742,2742,1.0
MimicObservationED.ndjson.gz,code.coding[0].display,2742,2742,1.0
MimicObservationED.ndjson.gz,meta.profile[0],2742,2742,1.0
MimicObservationED.ndjson.gz,partOf[0].reference,2742,2742,1.0
MimicObservationED.ndjson.gz,status,2742,2742,1.0
MimicObservationED.ndjson.gz,subject.reference,2742,2742,1.0
MimicObservationED.ndjson.gz,category[0].coding[0].code,2742,2742,1.0
MimicObservationED.ndjson.gz,category[0].coding[0].system,2742,2742,1.0
MimicObservationED.ndjson.gz,category[0].coding[0].display,2742,2742,1.0
MimicObservationED.ndjson.gz,encounter.reference,2742,2742,1.0
MimicObservationED.ndjson.gz,valueString,1399,2742,0.5102115244347192
MimicObservationED.ndjson.gz,resourceType,2742,2742,1.0
MimicObservationED.ndjson.gz,effectiveDateTime,2742,2742,1.0
MimicObservationED.ndjson.gz,dataAbsentReason.coding[0].code,1343,2742,0.4897884755652808
MimicObservationED.ndjson.gz,dataAbsentReason.coding[0].system,1343,2742,0.4897884755652808
MimicObservationED.ndjson.gz,dataAbsentReason.coding[0].display,1343,2742,0.4897884755652808
MimicObservationLabevents.ndjson.gz,id,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,code.coding[0].code,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,code.coding[0].system,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,code.coding[0].display,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,meta.profile[0],107727,107727,1.0
MimicObservationLabevents.ndjson.gz,issued,106735,107727,0.9907915378688722
MimicObservationLabevents.ndjson.gz,status,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,subject.reference,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,category[0].coding[0].code,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,category[0].coding[0].system,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,category[0].coding[0].display,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,specimen.reference,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,extension[0].url,98398,107727,0.9134014685269245
MimicObservationLabevents.ndjson.gz,extension[0].valueString,98398,107727,0.9134014685269245
MimicObservationLabevents.ndjson.gz,identifier[0].value,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,identifier[0].system,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,resourceType,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,valueQuantity.code,88951,107727,0.8257075756309932
MimicObservationLabevents.ndjson.gz,valueQuantity.unit,88951,107727,0.8257075756309932
MimicObservationLabevents.ndjson.gz,valueQuantity.value,95258,107727,0.88425371541025
MimicObservationLabevents.ndjson.gz,valueQuantity.system,95258,107727,0.88425371541025
MimicObservationLabevents.ndjson.gz,referenceRange[0].low.code,87177,107727,0.8092400233924643
MimicObservationLabevents.ndjson.gz,referenceRange[0].low.unit,87177,107727,0.8092400233924643
MimicObservationLabevents.ndjson.gz,referenceRange[0].low.value,88999,107727,0.8261531463792735
MimicObservationLabevents.ndjson.gz,referenceRange[0].low.system,88999,107727,0.8261531463792735
MimicObservationLabevents.ndjson.gz,referenceRange[0].high.code,87177,107727,0.8092400233924643
MimicObservationLabevents.ndjson.gz,referenceRange[0].high.unit,87177,107727,0.8092400233924643
MimicObservationLabevents.ndjson.gz,referenceRange[0].high.value,88999,107727,0.8261531463792735
MimicObservationLabevents.ndjson.gz,referenceRange[0].high.system,88999,107727,0.8261531463792735
MimicObservationLabevents.ndjson.gz,effectiveDateTime,107727,107727,1.0
MimicObservationLabevents.ndjson.gz,note[0].text,18454,107727,0.1713033872659593
MimicObservationLabevents.ndjson.gz,valueString,12467,107727,0.115727719141905
MimicObservationLabevents.ndjson.gz,encounter.reference,79307,107727,0.7361849861223277
MimicObservationLabevents.ndjson.gz,valueQuantity.comparator,12,107727,0.00011139268707009385
MimicObservationLabevents.ndjson.gz,dataAbsentReason.coding[0].code,2,107727,1.8565447845015642e-05
MimicObservationLabevents.ndjson.gz,dataAbsentReason.coding[0].system,2,107727,1.8565447845015642e-05
MimicPatient.ndjson.gz,id,100,100,1.0
MimicPatient.ndjson.gz,meta.profile[0],100,100,1.0
MimicPatient.ndjson.gz,name[0].use,100,100,1.0
MimicPatient.ndjson.gz,name[0].family,100,100,1.0
MimicPatient.ndjson.gz,gender,100,100,1.0
MimicPatient.ndjson.gz,birthDate,100,100,1.0
MimicPatient.ndjson.gz,extension[0].url,100,100,1.0
MimicPatient.ndjson.gz,extension[0].extension[0].url,100,100,1.0
MimicPatient.ndjson.gz,extension[0].extension[0].valueCoding.code,100,100,1.0
MimicPatient.ndjson.gz,extension[0].extension[0].valueCoding.system,100,100,1.0
MimicPatient.ndjson.gz,extension[0].extension[0].valueCoding.display,100,100,1.0
MimicPatient.ndjson.gz,extension[0].extension[1].url,100,100,1.0
MimicPatient.ndjson.gz,extension[0].extension[1].valueString,100,100,1.0
MimicPatient.ndjson.gz,extension[1].url,100,100,1.0
MimicPatient.ndjson.gz,extension[1].extension[0].url,82,100,0.82
MimicPatient.ndjson.gz,extension[1].extension[0].valueCoding.code,82,100,0.82
MimicPatient.ndjson.gz,extension[1].extension[0].valueCoding.system,82,100,0.82
MimicPatient.ndjson.gz,extension[1].extension[0].valueCoding.display,82,100,0.82
MimicPatient.ndjson.gz,extension[1].extension[1].url,82,100,0.82
MimicPatient.ndjson.gz,extension[1].extension[1].valueString,82,100,0.82
MimicPatient.ndjson.gz,extension[2].url,82,100,0.82
MimicPatient.ndjson.gz,extension[2].valueCode,82,100,0.82
MimicPatient.ndjson.gz,identifier[0].value,100,100,1.0
MimicPatient.ndjson.gz,identifier[0].system,100,100,1.0
MimicPatient.ndjson.gz,resourceType,100,100,1.0
MimicPatient.ndjson.gz,communication[0].language.coding[0].code,92,100,0.92
MimicPatient.ndjson.gz,communication[0].language.coding[0].system,92,100,0.92
MimicPatient.ndjson.gz,maritalStatus.coding[0].code,100,100,1.0
MimicPatient.ndjson.gz,maritalStatus.coding[0].system,100,100,1.0
MimicPatient.ndjson.gz,managingOrganization.reference,100,100,1.0
MimicPatient.ndjson.gz,extension[1].valueCode,18,100,0.18
MimicPatient.ndjson.gz,deceasedDateTime,31,100,0.31
MimicProcedure.ndjson.gz,id,722,722,1.0
MimicProcedure.ndjson.gz,code.coding[0].code,722,722,1.0
MimicProcedure.ndjson.gz,code.coding[0].system,722,722,1.0
MimicProcedure.ndjson.gz,code.coding[0].display,722,722,1.0
MimicProcedure.ndjson.gz,meta.profile[0],722,722,1.0
MimicProcedure.ndjson.gz,status,722,722,1.0
MimicProcedure.ndjson.gz,subject.reference,722,722,1.0
MimicProcedure.ndjson.gz,encounter.reference,722,722,1.0
MimicProcedure.ndjson.gz,resourceType,722,722,1.0
MimicProcedure.ndjson.gz,performedDateTime,722,722,1.0
MimicProcedureED.ndjson.gz,id,1260,1260,1.0
MimicProcedureED.ndjson.gz,code.coding[0].code,1260,1260,1.0
MimicProcedureED.ndjson.gz,code.coding[0].system,1260,1260,1.0
MimicProcedureED.ndjson.gz,code.coding[0].display,1260,1260,1.0
MimicProcedureED.ndjson.gz,meta.profile[0],1260,1260,1.0
MimicProcedureED.ndjson.gz,status,1260,1260,1.0
MimicProcedureED.ndjson.gz,subject.reference,1260,1260,1.0
MimicProcedureED.ndjson.gz,encounter.reference,1260,1260,1.0
MimicProcedureED.ndjson.gz,resourceType,1260,1260,1.0
MimicProcedureED.ndjson.gz,performedDateTime,1260,1260,1.0
MimicProcedureICU.ndjson.gz,id,1468,1468,1.0
MimicProcedureICU.ndjson.gz,code.coding[0].code,1468,1468,1.0
MimicProcedureICU.ndjson.gz,code.coding[0].system,1468,1468,1.0
MimicProcedureICU.ndjson.gz,code.coding[0].display,1468,1468,1.0
MimicProcedureICU.ndjson.gz,meta.profile[0],1468,1468,1.0
MimicProcedureICU.ndjson.gz,status,1468,1468,1.0
MimicProcedureICU.ndjson.gz,subject.reference,1468,1468,1.0
MimicProcedureICU.ndjson.gz,category.coding[0].code,1468,1468,1.0
MimicProcedureICU.ndjson.gz,category.coding[0].system,1468,1468,1.0
MimicProcedureICU.ndjson.gz,encounter.reference,1468,1468,1.0
MimicProcedureICU.ndjson.gz,resourceType,1468,1468,1.0
MimicProcedureICU.ndjson.gz,performedPeriod.end,1468,1468,1.0
MimicProcedureICU.ndjson.gz,performedPeriod.start,1468,1468,1.0
MimicProcedureICU.ndjson.gz,bodySite[0].coding[0].code,353,1468,0.24046321525885558
MimicProcedureICU.ndjson.gz,bodySite[0].coding[0].system,353,1468,0.24046321525885558
