file,resource_type,method,column,non_null_count,non_null_fraction
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,resourceType,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,meta.profile,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,class.code,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,class.system,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,class.display,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,partOf.reference,172,0.7747747747747747
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,period.end,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,period.start,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,subject.reference,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,hospitalization.admitSource.coding,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,hospitalization.dischargeDisposition.coding,222,1.0
MimicEncounterED.ndjson.gz,Encounter,generic_json_normalize,serviceProvider.reference,222,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhiry_compact,resourceType,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhiry_compact,id,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhiry_compact,status,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhiry_compact,class_code,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhiry_compact,subject_ref,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhiry_compact,period_start,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhiry_compact,period_end,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhiry_compact,service_provider_ref,0,0.0
MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,id,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,meta,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,type,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,class,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,partOf,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,period,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,status,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,subject,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,location,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,identifier,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,fhirpack_frame,resourceType,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,id,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,type,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,status,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,location,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,identifier,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,resourceType,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,meta.profile,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,class.code,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,class.system,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,partOf.reference,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,period.end,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,period.start,140,1.0
MimicEncounterICU.ndjson.gz,Encounter,generic_json_normalize,subject.reference,140,1.0
MimicMedication.ndjson.gz,Medication,fhiry_compact,resourceType,1480,1.0
MimicMedication.ndjson.gz,Medication,fhiry_compact,id,1480,1.0
MimicMedication.ndjson.gz,Medication,fhiry_compact,code_code,1480,1.0
MimicMedication.ndjson.gz,Medication,fhiry_compact,code_system,1480,1.0
MimicMedication.ndjson.gz,Medication,fhiry_compact,code_display,0,0.0
MimicMedication.ndjson.gz,Medication,fhirpack_frame,id,1480,1.0
MimicMedication.ndjson.gz,Medication,fhirpack_frame,code,1480,1.0
MimicMedication.ndjson.gz,Medication,fhirpack_frame,meta,1480,1.0
MimicMedication.ndjson.gz,Medication,fhirpack_frame,status,1480,1.0
MimicMedication.ndjson.gz,Medication,fhirpack_frame,identifier,1480,1.0
MimicMedication.ndjson.gz,Medication,fhirpack_frame,resourceType,1480,1.0
MimicMedication.ndjson.gz,Medication,generic_json_normalize,id,1480,1.0
MimicMedication.ndjson.gz,Medication,generic_json_normalize,status,1480,1.0
MimicMedication.ndjson.gz,Medication,generic_json_normalize,identifier,1480,1.0
MimicMedication.ndjson.gz,Medication,generic_json_normalize,resourceType,1480,1.0
MimicMedication.ndjson.gz,Medication,generic_json_normalize,code.coding,1480,1.0
MimicMedication.ndjson.gz,Medication,generic_json_normalize,meta.profile,1480,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhiry_compact,resourceType,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhiry_compact,id,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhiry_compact,status,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhiry_compact,subject_ref,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhiry_compact,context_ref,35072,0.9706899892059451
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhiry_compact,medication_ref,0,0.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhiry_compact,effective_datetime,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhirpack_frame,id,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhirpack_frame,meta,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhirpack_frame,dosage,32523,0.9001411530264869
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhirpack_frame,status,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhirpack_frame,context,35072,0.9706899892059451
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhirpack_frame,request,35026,0.9694168442611608
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhirpack_frame,subject,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhirpack_frame,resourceType,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhirpack_frame,effectiveDateTime,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,fhirpack_frame,medicationCodeableConcept,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,id,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,status,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,resourceType,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,effectiveDateTime,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,meta.profile,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,dosage.dose.code,32503,0.899587611746146
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,dosage.dose.unit,32503,0.899587611746146
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,dosage.dose.value,32523,0.9001411530264869
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,dosage.dose.system,32523,0.9001411530264869
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,dosage.text,32523,0.9001411530264869
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,dosage.method.coding,32180,0.8906479200686391
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,context.reference,35072,0.9706899892059451
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,request.reference,35026,0.9694168442611608
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,subject.reference,36131,1.0
MimicMedicationAdministration.ndjson.gz,MedicationAdministration,generic_json_normalize,medicationCodeableConcept.coding,36131,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhiry_compact,resourceType,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhiry_compact,id,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhiry_compact,status,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhiry_compact,subject_ref,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhiry_compact,context_ref,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhiry_compact,medication_ref,0,0.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhiry_compact,when_handed_over,0,0.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhirpack_frame,id,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhirpack_frame,meta,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhirpack_frame,status,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhirpack_frame,context,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhirpack_frame,subject,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhirpack_frame,identifier,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhirpack_frame,resourceType,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhirpack_frame,dosageInstruction,14287,0.9995802140908137
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhirpack_frame,authorizingPrescription,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,fhirpack_frame,medicationCodeableConcept,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,generic_json_normalize,id,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,generic_json_normalize,status,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,generic_json_normalize,identifier,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,generic_json_normalize,resourceType,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,generic_json_normalize,dosageInstruction,14287,0.9995802140908137
MimicMedicationDispense.ndjson.gz,MedicationDispense,generic_json_normalize,authorizingPrescription,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,generic_json_normalize,meta.profile,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,generic_json_normalize,context.reference,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,generic_json_normalize,subject.reference,14293,1.0
MimicMedicationDispense.ndjson.gz,MedicationDispense,generic_json_normalize,medicationCodeableConcept.coding,14293,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhiry_compact,resourceType,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhiry_compact,id,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhiry_compact,status,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhiry_compact,intent,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhiry_compact,subject_ref,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhiry_compact,encounter_ref,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhiry_compact,medication_ref,15225,0.867422515952598
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhiry_compact,authored_on,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,id,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,meta,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,intent,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,status,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,subject,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,encounter,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,authoredOn,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,identifier,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,resourceType,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,dispenseRequest,14574,0.8303327256153145
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,dosageInstruction,15219,0.8670806745670009
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,medicationReference,15225,0.867422515952598
MimicMedicationRequest.ndjson.gz,MedicationRequest,fhirpack_frame,medicationCodeableConcept,2327,0.132577484047402
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,id,17552,1.0
